"","Day","MTBI"
"1",30,0.00180801134530532
"2",31,0.00169597681178633
"3",32,0.00156478946216334
"4",33,0.0014614634246817
"5",34,0.00142720140570801
"6",35,0.00143005862898504
"7",36,0.00126990975398964
"8",37,0.00108664489811686
"9",38,0.000937881685545003
"10",39,0.000821976313725149
"11",40,0.000732322856281709
"12",41,0.000686653508199131
"13",42,0.000659518347789037
"14",43,0.000614969764444005
"15",44,0.000552609063487319
"16",45,0.000499055384756476
"17",46,0.000459019654525105
"18",47,0.000440362778488282
"19",48,0.000427921770661878
"20",49,0.000421667944149785
"21",50,0.000412941236861707
"22",51,0.000392261940643603
"23",52,0.000374752670719001
"24",53,0.000352256890698045
"25",54,0.000331016469075328
"26",55,0.000316398195273543
"27",56,0.000306812203833074
"28",57,0.000298286000412139
"29",58,0.000290196083218075
"30",59,0.000279465703647827
"31",60,0.00026845211556551
"32",61,0.000252951897559025
"33",62,0.000240421136258296
"34",63,0.000227946987418676
"35",64,0.000214930300151412
"36",65,0.000201078823239375
"37",66,0.000186435196725938
"38",67,0.000173401312842014
"39",68,0.000163246409625503
"40",69,0.000155607931936901
"41",70,0.000148305337514628
"42",71,0.000141372622607952
"43",72,0.000132960206294052
"44",73,0.000124471606284378
"45",74,0.000116278107860931
"46",75,0.000108577656721235
"47",76,0.000102880516530851
